status,file_path,amir_hash,server_hash
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_pagination.scss,,d1d497af
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_sidenav.scss,,b40c671d
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_tables.scss,,406278e9
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_timeline.scss,,795143f8
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_toolbar.scss,,3c259991
ONLY_IN_SERVER,app/admin/assets/src/scss/helpers/_+import-helpers.scss,,a9615ec1
ONLY_IN_SERVER,app/admin/assets/src/scss/helpers/_mixins.scss,,d79acae6
ONLY_IN_SERVER,app/admin/assets/src/scss/helpers/_utilities.scss,,d1ddc10e
ONLY_IN_SERVER,app/admin/assets/src/scss/helpers/_variables.scss,,52134355
ONLY_IN_SERVER,app/admin/assets/src/scss/utilities/_+import-utilities.scss,,f3870ba8
ONLY_IN_SERVER,app/admin/assets/src/scss/utilities/_reboot.scss,,934bb2d9
ONLY_IN_SERVER,app/admin/assets/src/scss/utilities/_replace.scss,,4d5a8d60
ONLY_IN_SERVER,app/admin/assets/src/scss/utilities/_utilities.scss,,619bb2e2
ONLY_IN_SERVER,app/admin/assets/webpack.mix.js,,afdbe288
ONLY_IN_SERVER,app/admin/bulkactionwidgets/Delete.php,,4eb2b3f9
ONLY_IN_SERVER,app/admin/bulkactionwidgets/Status.php,,58d623e6
ONLY_IN_SERVER,app/admin/classes/AdminController.php,,41e74bb6
ONLY_IN_SERVER,app/admin/classes/Allocator.php,,7717bc99
ONLY_IN_SERVER,app/admin/classes/BaseBulkActionWidget.php,,08b08532
ONLY_IN_SERVER,app/admin/classes/BaseDashboardWidget.php,,63f5248a
ONLY_IN_SERVER,app/admin/classes/BaseFormWidget.php,,5bf3d760
ONLY_IN_SERVER,app/admin/classes/BasePaymentGateway.php,,2a04abc4
ONLY_IN_SERVER,app/admin/classes/BaseWidget.php,,28bb95b4
ONLY_IN_SERVER,app/admin/classes/FilterScope.php,,ef03014e
ONLY_IN_SERVER,app/admin/classes/FormField.php,,8aaac394
ONLY_IN_SERVER,app/admin/classes/FormTabs.php,,703379bb
ONLY_IN_SERVER,app/admin/classes/ListColumn.php,,9ec7018e
ONLY_IN_SERVER,app/admin/classes/Location.php,,e6064a0c
ONLY_IN_SERVER,app/admin/classes/LocationScope.php,,a32ff565
ONLY_IN_SERVER,app/admin/classes/MenuItem.php,,c6f05e3d
ONLY_IN_SERVER,app/admin/classes/Navigation.php,,a1499f33
ONLY_IN_SERVER,app/admin/classes/OnboardingSteps.php,,989604bc
ONLY_IN_SERVER,app/admin/classes/PaymentGateways.php,,7bdcb9cc
ONLY_IN_SERVER,app/admin/classes/PermissionManager.php,,a1e5a9c7
ONLY_IN_SERVER,app/admin/classes/ScheduleItem.php,,68fc44fb
ONLY_IN_SERVER,app/admin/classes/Template.php,,7d09a89a
ONLY_IN_SERVER,app/admin/classes/ToolbarButton.php,,88ea1df4
ONLY_IN_SERVER,app/admin/classes/User.php,,3b7e176d
ONLY_IN_SERVER,app/admin/classes/UserPanel.php,,2e42f682
ONLY_IN_SERVER,app/admin/classes/UserState.php,,a0846c96
